stock_code,symbol,name,category,sub_category,currency
0296,0296.HK,EMPEROR E HOTEL,Equity,Equity Securities (Main Board),HKD
0297,0297.HK,SINOFERT,Equity,Equity Securities (Main Board),HKD
0298,0298.HK,CHUANG'S CHINA,Equity,Equity Securities (Main Board),HKD
0299,0299.HK,GLORY SUN LAND,Equity,Equity Securities (Main Board),HKD
0300,0300.HK,MIDEA GROUP,Equity,Equity Securities (Main Board),HKD
0301,0301.HK,SANVO CHEMICALS,Equity,Equity Securities (Main Board),HKD
0302,0302.HK,CMGE,Equity,Equity Securities (Main Board),HKD
0303,0303.HK,VTECH HOLDINGS,Equity,Equity Securities (Main Board),HKD
0305,0305.HK,WULING MOTORS,Equity,Equity Securities (Main Board),HKD
0306,0306.HK,KWOON CHUNG BUS,Equity,Equity Securities (Main Board),HKD
0308,0308.HK,CHINA TRAVEL HK,Equity,Equity Securities (Main Board),HKD
0309,0309.HK,XH NEWS MEDIA,Equity,Equity Securities (Main Board),HKD
0310,0310.HK,PROSP INV HOLD,Equity,Investment Companies,HKD
0311,0311.HK,LUEN THAI,Equity,Equity Securities (Main Board),HKD
0312,0312.HK,SHIRBLE STORE,Equity,Equity Securities (Main Board),HKD
0313,0313.HK,RICHLY FIELD,Equity,Equity Securities (Main Board),HKD
0314,0314.HK,SIPAI HEALTH,Equity,Equity Securities (Main Board),HKD
0315,0315.HK,SMARTONE TELE,Equity,Equity Securities (Main Board),HKD
0316,0316.HK,OOIL,Equity,Equity Securities (Main Board),HKD
0317,0317.HK,COMEC,Equity,Equity Securities (Main Board),HKD
0318,0318.HK,VONGROUP,Equity,Equity Securities (Main Board),HKD
0320,0320.HK,CTGL,Equity,Equity Securities (Main Board),HKD
0321,0321.HK,TEXWINCA HOLD,Equity,Equity Securities (Main Board),HKD
0322,0322.HK,TINGYI,Equity,Equity Securities (Main Board),HKD
0323,0323.HK,MAANSHAN IRON,Equity,Equity Securities (Main Board),HKD
0325,0325.HK,BLOKS,Equity,Equity Securities (Main Board),HKD
0326,0326.HK,CHINA STAR ENT,Equity,Equity Securities (Main Board),HKD
0327,0327.HK,PAX GLOBAL,Equity,Equity Securities (Main Board),HKD
0328,0328.HK,ALCO HOLDINGS,Equity,Equity Securities (Main Board),HKD
0329,0329.HK,OCI INTL,Equity,Equity Securities (Main Board),HKD
0330,0330.HK,ESPRIT HOLDINGS,Equity,Equity Securities (Main Board),HKD
0331,0331.HK,FSE LIFESTYLE,Equity,Equity Securities (Main Board),HKD
0332,0332.HK,YUANHENGGAS-NEW,Equity,Equity Securities (Main Board),HKD
0333,0333.HK,TOP FORM INT'L,Equity,Equity Securities (Main Board),HKD
0334,0334.HK,CH DISPLAY OPT,Equity,Equity Securities (Main Board),HKD
0335,0335.HK,UPBEST GROUP,Equity,Equity Securities (Main Board),HKD
0336,0336.HK,HUABAO INTL,Equity,Equity Securities (Main Board),HKD
0337,0337.HK,GREENLAND HK,Equity,Equity Securities (Main Board),HKD
0338,0338.HK,SHANGHAI PECHEM,Equity,Equity Securities (Main Board),HKD
0339,0339.HK,WEBX HOLDING,Equity,Investment Companies,HKD
0340,0340.HK,TONGGUAN GOLD,Equity,Equity Securities (Main Board),HKD
0341,0341.HK,CAFE DE CORAL H,Equity,Equity Securities (Main Board),HKD
0343,0343.HK,CULTURECOM HOLD,Equity,Equity Securities (Main Board),HKD
0345,0345.HK,VITASOY INT'L,Equity,Equity Securities (Main Board),HKD
0346,0346.HK,YANCHANG PETRO,Equity,Equity Securities (Main Board),HKD
0347,0347.HK,ANGANG STEEL,Equity,Equity Securities (Main Board),HKD
0348,0348.HK,CHINAHEALTHWISE,Equity,Equity Securities (Main Board),HKD
0351,0351.HK,ASIA ENERGY LOG,Equity,Equity Securities (Main Board),HKD
0352,0352.HK,FORTUNE SUN,Equity,Equity Securities (Main Board),HKD
0353,0353.HK,ENERGY INTINV,Equity,Equity Securities (Main Board),HKD
0354,0354.HK,CHINASOFT INT'L,Equity,Equity Securities (Main Board),HKD
0355,0355.HK,CENTURY C INT'L,Equity,Equity Securities (Main Board),HKD
0356,0356.HK,DT CAPITAL,Equity,Investment Companies,HKD
0357,0357.HK,MEILAN AIRPORT,Equity,Equity Securities (Main Board),HKD
0358,0358.HK,JIANGXI COPPER,Equity,Equity Securities (Main Board),HKD
0360,0360.HK,NEW FOCUS AUTO,Equity,Equity Securities (Main Board),HKD
0361,0361.HK,HANFORT DEV H,Equity,Equity Securities (Main Board),HKD
0362,0362.HK,C ZENITH CHEM,Equity,Equity Securities (Main Board),HKD
0363,0363.HK,SHANGHAI IND H,Equity,Equity Securities (Main Board),HKD
0365,0365.HK,SINO ICT,Equity,Equity Securities (Main Board),HKD
0366,0366.HK,LUKS GROUP (VN),Equity,Equity Securities (Main Board),HKD
0367,0367.HK,CHUANG'S INT'L,Equity,Equity Securities (Main Board),HKD
0368,0368.HK,SUPERLAND GROUP,Equity,Equity Securities (Main Board),HKD
0369,0369.HK,WING TAI PPT,Equity,Equity Securities (Main Board),HKD
0370,0370.HK,HK ROBOTICS,Equity,Equity Securities (Main Board),HKD
0371,0371.HK,BJ ENT WATER,Equity,Equity Securities (Main Board),HKD
0372,0372.HK,PT INTL DEV,Equity,Equity Securities (Main Board),HKD
0373,0373.HK,ALLIED GROUP,Equity,Equity Securities (Main Board),HKD
0374,0374.HK,FOUR SEAS MER,Equity,Equity Securities (Main Board),HKD
0375,0375.HK,YGM TRADING,Equity,Equity Securities (Main Board),HKD
0376,0376.HK,YUNFENG FIN,Equity,Equity Securities (Main Board),HKD
0377,0377.HK,CHINA HUAJUN GP,Equity,Equity Securities (Main Board),HKD
0379,0379.HK,EG LEASING,Equity,Equity Securities (Main Board),HKD
0380,0380.HK,CHINA PIPE,Equity,Equity Securities (Main Board),HKD
0381,0381.HK,AOM INT'L,Equity,Equity Securities (Main Board),HKD
0382,0382.HK,EDVANTAGE GROUP,Equity,Equity Securities (Main Board),HKD
0383,0383.HK,TIANAN MEDICARE,Equity,Equity Securities (Main Board),HKD
0384,0384.HK,CHINA GAS HOLD,Equity,Equity Securities (Main Board),HKD
0385,0385.HK,CHINNEY ALLI,Equity,Equity Securities (Main Board),HKD
0386,0386.HK,SINOPEC CORP,Equity,Equity Securities (Main Board),HKD
0387,0387.HK,LEEPORT(HOLD),Equity,Equity Securities (Main Board),HKD
0388,0388.HK,HKEX,Equity,Equity Securities (Main Board),HKD
0389,0389.HK,TONTINE WINES,Equity,Equity Securities (Main Board),HKD
0390,0390.HK,CHINA RAILWAY,Equity,Equity Securities (Main Board),HKD
0391,0391.HK,MEI AH ENTER,Equity,Equity Securities (Main Board),HKD
0392,0392.HK,BEIJING ENT,Equity,Equity Securities (Main Board),HKD
0393,0393.HK,GLORIOUS SUN,Equity,Equity Securities (Main Board),HKD
0396,0396.HK,HING LEE (HK),Equity,Equity Securities (Main Board),HKD
0397,0397.HK,MINERVA GROUP,Equity,Equity Securities (Main Board),HKD
0398,0398.HK,ORIENTAL WATCH,Equity,Equity Securities (Main Board),HKD
0399,0399.HK,STARCOIN GROUP,Equity,Equity Securities (Main Board),HKD
0400,0400.HK,INGDAN,Equity,Equity Securities (Main Board),HKD
0401,0401.HK,WANJIA GROUP,Equity,Equity Securities (Main Board),HKD
0403,0403.HK,STARLITE HOLD,Equity,Equity Securities (Main Board),HKD
0405,0405.HK,YUEXIU REIT,Real Estate Investment Trusts,,HKD
0406,0406.HK,YAU LEE HOLD,Equity,Equity Securities (Main Board),HKD
0408,0408.HK,YIP'S CHEMICAL,Equity,Equity Securities (Main Board),HKD
0410,0410.HK,SOHO CHINA,Equity,Equity Securities (Main Board),HKD
0411,0411.HK,LAM SOON (HK),Equity,Equity Securities (Main Board),HKD
0412,0412.HK,SDHG,Equity,Equity Securities (Main Board),HKD
0413,0413.HK,SC HOLDINGS,Equity,Equity Securities (Main Board),HKD
0417,0417.HK,TSE SUI LUEN,Equity,Equity Securities (Main Board),HKD
0418,0418.HK,FOUNDER HOLD,Equity,Equity Securities (Main Board),HKD
0419,0419.HK,HONY MEDIA,Equity,Equity Securities (Main Board),HKD
0420,0420.HK,FOUNTAIN SET,Equity,Equity Securities (Main Board),HKD
0422,0422.HK,VMEP HOLDINGS,Equity,Equity Securities (Main Board),HKD
0423,0423.HK,HKET HOLDINGS,Equity,Equity Securities (Main Board),HKD
0425,0425.HK,MINTH GROUP,Equity,Equity Securities (Main Board),HKD
0426,0426.HK,ONE MEDIA GROUP,Equity,Equity Securities (Main Board),HKD
